V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
582256,231,503,106,291,506,304,220,284,228,227,378,291,223,225,343,557,241,642,397,333,219,259,262,350,286,343,507,230,469,266,245,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,54,1,-2.18141138095762,-2.54254130836785
355518,283,537,70,261,349,493,227,197,265,318,247,285,218,237,245,671,441,203,334,354,250,848,219,247,337,243,269,475,635,176,217,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,28,5,-2.45548647292354,8.28741052986048
728479,260,538,80,218,506,357,223,287,180,257,227,390,245,236,265,621,233,702,388,358,233,340,314,322,268,307,695,421,407,252,200,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,44,1,-3.09613448046753,-3.54228819071942
521506,842,680,476,504,702,0,246,258,97,146,530,230,226,240,583,599,396,625,460,588,142,456,256,425,490,591,787,396,356,229,210,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,82,31,10.5516050076972,1.76772111535344
56542,244,509,137,401,564,0,249,160,189,199,410,353,242,230,410,579,326,668,359,374,172,366,228,341,329,264,660,248,393,240,299,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,64,1,-1.06591940777083,-3.48379790574619
200679,171,448,150,227,524,137,227,287,220,231,336,466,233,239,279,563,187,704,375,348,213,321,195,205,291,283,586,354,365,200,263,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,24,1,-4.17813884768422,-3.77350446489997
230757,343,578,74,227,275,558,185,231,264,292,210,365,235,219,330,668,516,89,414,345,264,869,194,199,471,308,700,536,721,178,260,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,8,4,-3.34219581089754,7.47925480330868
132716,243,518,100,295,482,0,243,257,219,502,407,373,229,234,373,764,506,282,371,331,401,255,202,326,294,432,636,417,621,213,332,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,89,36,5.71690433642639,4.52729458497027
238984,254,536,123,268,571,0,240,277,191,216,382,500,219,228,307,606,329,734,314,360,243,362,210,283,289,338,555,284,437,226,269,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,14,1,-3.84246847571405,-3.77521510274226
50371,513,643,106,306,480,620,262,210,227,300,310,504,237,226,282,621,252,701,389,348,233,257,282,266,271,313,644,282,502,232,230,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,3,1,-4.50967296146617,-4.62115302118448
576022,333,548,83,385,523,76,256,288,219,230,300,581,226,241,295,638,333,760,171,339,208,306,241,311,293,352,622,339,507,234,180,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,5,1,-3.6191671415095,-4.96882740912963
389940,268,524,63,252,263,579,270,309,289,592,448,393,238,224,367,720,456,212,322,302,295,212,152,362,255,729,414,640,776,200,129,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,70,24,5.59614921086136,3.0351215787423
711244,428,608,100,296,529,489,206,267,235,223,320,371,237,224,320,576,276,642,328,356,205,308,251,280,281,340,545,247,480,220,199,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,54,1,-2.35988306402432,-2.73948079360356
76034,486,629,128,262,561,523,236,182,195,205,216,523,233,221,349,595,237,611,345,360,187,261,207,234,254,248,565,159,424,205,281,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,22,1,-4.96684937825823,-5.3815750485552
682659,503,622,220,530,628,0,227,105,167,185,383,278,232,242,537,474,297,656,394,398,195,459,291,346,319,331,540,210,363,233,231,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,61,19,0.224056221066274,-3.82818434946461
523985,250,528,220,328,587,0,551,232,181,225,454,306,233,231,389,669,490,680,400,426,168,404,193,298,305,377,762,414,455,206,379,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,76,26,6.73915645364033,-1.93908759177743
538154,338,539,129,240,626,0,253,177,170,173,424,520,225,224,376,597,229,735,411,384,108,380,206,298,248,279,695,382,290,215,219,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,1,1,-5.11265158352292,-4.27225901894262
333692,418,600,69,251,436,591,221,282,189,277,332,338,223,225,268,629,274,142,354,331,269,807,259,257,309,296,219,394,463,228,259,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,28,5,-1.97571682331921,8.52801541592698
